reference_casias,nom,adresse,code_insee,commune,avec_coordonnees,statut,motif,source_url
BNO6100495,,Moulin de Villeray,61115,CONDEAU,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796145
BNO6100507,MOULIN DE BRIEUX,moulin le,61062,BRIEUX,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796157
BNO6100509,SCIERIE,"""Les Hauts Vents""",61283,MONTABARD,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796159
BNO6100512,MOULIN DE MANDEVILLE,,61276,MERRI,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796162
BNO6100513,,moulins les,61303,NECY,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796163
BNO6100525,LE MOULIN AUX FERRONS,LE MOULIN  AUX   FERRONS,61150,ECHAUFFOUR,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796174
BNO6100529,USINE DE BOISTHOREL,,61342,RAI,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796178
BNO6100538,SCIERIE DE MAUBUISSON,,61342,RAI,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796183
BNO6100539,USINE BOISTHOREL,,61342,RAI,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796184
BNO6100542,USINE DE BOISTHOREL,,61342,RAI,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796187
BNO6100551,LA FORGE DE RANDONNAI,,61343,RANDONNAI,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796196
BNO6100555,FONDERIES,,61343,RANDONNAI,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796200
BNO6100561,USINE JACQUEMEART,,61343,RANDONNAI,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796206
BNO6100565,EMPOITERIE ET SCIERIE DE L'AIGLE,,61214,L'AIGLE,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796209
BNO6100568,,"rue Docteur Blaizot du, usine",61214,L'AIGLE,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796212
BNO6100569,USINE DE LA MOUSSE,ZI,61214,L'AIGLE,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796213
BNO6100571,USINE DES HAYE,,61214,L'AIGLE,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796215
BNO6100576,L'USINE DU PONT DU MOULIN,"14 rue Pont du moulin du, L'Aigle",61214,L'AIGLE,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796220
BNO6100578,FONDERIE,"rue pont de pierre du, L'Aigle",61214,L'AIGLE,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796222
BNO6100594,USINES DES HAIES,,61214,L'AIGLE,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796237
BNO6100603,USINE DE MOYENNE MECANIQUE,"lieu dit ""Mérouvel"", commune de l'Aigle",61214,L'AIGLE,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796246
BNO6100605,USINE COLMONT,7 bis rue Gavenne de la,61214,L'AIGLE,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796248
BNO6100625,L'USINE DU GRU,,61214,L'AIGLE,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796267
BNO6100629,,19 rue moulin du,61214,L'AIGLE,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796271
BNO6100631,FONDERIE DE SUIF,,61214,L'AIGLE,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796273
BNO6100643,USINE A GAZ,rue garenne de la,61214,L'AIGLE,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796284
BNO6100662,,rue moulin du,61486,TINCHEBRAY,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796303
BNO6100664,FILATURE DE ROCHEFORT,,61486,TINCHEBRAY,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796305
