reference_casias,nom,adresse,code_insee,commune,avec_coordonnees,statut,motif,source_url
BNO6101362,"EXPLOITATION EDF/GDF, ancienne usine à gaz",7 boulevard Duchamp et 109 rue de Bretagne,61001,ALENCON,oui,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796953
BNO6101364,P.C.A.S. ( Socitété de Produits Chimiques Auxiliaires de Synthèse),"lieu dit ""L'usine"" Usine de Couterne - Route de Lassay",61200,HALEINE,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796954
BNO6101366,DEPOT DE SAINT CLAIR DE HALOUZE,Anciennes mines de Saint Clair de Halouze,61376,SAINT CLAIR DE HALOUZE,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796956
BNO6101372,"INSTALLATION TECHNIQUE EDF-GDF, Ancienne usine à gaz",rue cinq frères Robinet des,61243,MAGNY LE DESERT,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796961
BNO6101390,GRAPH 2000 IMPRIMERIE,boulevard expansion de l',61006,ARGENTAN,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796977
BNO6101538,IMPRIMERIE BELLENOISE SA,"route Mans du, ZI",61038,BELLEME,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3797112
BNO6101593,Sté FILIX-LATEX,Usine de la Tellerie RD 20,61007,ATHIS DE L'ORNE,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3797151
BNO6101640,VIAFRANCE,Carrière Pascual,61081,CHAILLOUE,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3797195
BNO6101670,Sté DES TRANSPORTS BOUDESSEUL,"""Moulin Robert""",61243,MAGNY LE DESERT,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3797223
BNO6101717,THEMOCOAX et Cie Sté,Usine Planquivon,61447,SAINT PIERRE DU REGARD,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3797268
BNO6101810,STATION ESSO,"""Les Forges""",61369,SAINT BOMER LES FORGES,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3797355
BNO6101823,SA. LE FEUVRIER PIERRE,Carrière de la Noë gris,61486,TINCHEBRAY,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3797368
BNO6101824,SA. JOUIN PIERRE,"""Le moulin noir""",61486,TINCHEBRAY,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3797369
BNO6101871,MANUFACTURE SCIERIE BELLEMOISE,,61426,SAINT MARTIN DU VIEUX BELLEME,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3797413
BNO6101875,Sté CHIMIQUE DE LA ROUTE,"""Le Moulin""",61466,LA SELLE LA FORGE,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3797417
BNO6101900,SIRCOM D'ARGENTAN,rue Forge de la - lotissement communal,61339,PUTANGES PONT ECREPIN,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3797442
BNO6101927,,"""La Forgerie""",61025,LA BAROCHE SOUS LUCE,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3797468
BNO6101936,DEPOT D'ORDURES MENAGERES,"""La Carrière""",61210,JOUE DU PLAIN,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3797477
BNO6102057,Martineau imprimerie,Place Notre Dame,61339,PUTANGES PONT ECREPIN,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3797597
BNO6102059,Sté A.H.M.C,Verrerie LA,61491,TOUROUVRE,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3797599
BNO6102061,Sté Nouvelle des Fonderie du Perche,,61208,IRAI,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3797601
BNO6102078,Imprimerie,9 rue république de la,61169,FLERS,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3797616
BNO6102082,TRAPPE René,4 rue Jean Moulin,61211,JUVIGNY SOUS ANDAINE,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3797620
BNO6102184,ancienne forge dans le Bois de Livet,bois de livet,61342,RAI,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3797715
BNO6102185,"LA CLOUTERIE ""Moulin de Rai""",,61342,RAI,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3797716
0005302820,ENTREPRISE DUMOULIN,Sous le Bois,61183,GAPREE,oui,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP502708
