site_id,reference_ia,nom_site,motif
67b195fb-fcc9-44c5-9d47-732d308d9bdf,IA00061048,"fonderie Renaudin, puis Société Nouvelle d'Exploitation Renaudin",aucun_media_dans_la_notice
ea72cd6d-da87-4bb1-8177-55dd3531b11c,IA00061085,usine d'ébénisterie,aucun_media_dans_la_notice
