dossier_reference,origine,statut_traitement,statut_site,site_id,titre_source,communes_source,insee_source,adresses_source,lieux_dits_source,denominations_source,activites_codes,secteurs_codes,installations_codes,periodes_activite_codes,periodes_source_codes,localisation_statut_code,longitude_source,latitude_source,decision_rapprochement,dossier_url
IA00061002,pilote_30,enrichi_socle_v1,site_pilote_valide,f7b9e26f-4dd7-428f-a7e8-659c432904af,imprimerie Alençonnaise,Alençon,61001,Poulet Malassis (place) 19,,imprimerie,imprimerie,bois_papier_imprimerie,imprimerie,industrialisation_rail_vapeur | guerres_entre_deux_guerres | modernisation_apres_guerre,industrialisation_rail_vapeur | guerres_entre_deux_guerres | modernisation_apres_guerre,geometrie_approximative,0.08865273502274014,48.432512077974245,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/412bdd9c-fba0-4186-a292-cdce3d04da94
IA00061003,pilote_30,enrichi_socle_v1,site_pilote_valide,04264fa9-c2d1-4d5e-b709-bdb1d3836a9b,four à chaux,Les Rotours,61354,,,four à chaux,fabrication_chaux_ciment,verre_ceramique_materiaux_construction,four_chaux,avant_1789 | revolution_premiere_industrialisation,avant_1789 | revolution_premiere_industrialisation,geometrie_approximative,-0.2611416389081272,48.77974105802658,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/3b93acab-5a9a-4e6c-ae7d-96d51e5a6e92
IA00061008,pilote_30,enrichi_socle_v1,site_pilote_valide,2bcf41f5-1242-46d9-9809-8fff7fbdae14,usine d'extraction dite Mine de Halouze,Saint-Clair-de-Halouze,61376,,Puits 2 (Le),usine d'extraction,extraction_miniere,extraction,usine_extraction,industrialisation_rail_vapeur | guerres_entre_deux_guerres | modernisation_apres_guerre,industrialisation_rail_vapeur | guerres_entre_deux_guerres | modernisation_apres_guerre,geometrie_approximative,-0.6186115235885614,48.690929837651005,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/dd0c25a9-e2ed-4615-b008-b03551f35864
IA00061029,pilote_30,enrichi_socle_v1,site_pilote_valide,43d7512d-7196-4864-bc90-64b3b3474bce,affinerie,Aube,61008,,Forge (La),affinerie,affinage_metaux | forgeage,metallurgie_travail_metaux,affinerie | forge,avant_1789 | revolution_premiere_industrialisation | industrialisation_rail_vapeur | guerres_entre_deux_guerres,avant_1789 | revolution_premiere_industrialisation | industrialisation_rail_vapeur,geometrie_approximative,0.5526895033235633,48.74212960732837,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/9354356d-808f-412a-95b3-2dc2b2c99cdc
IA00061035,pilote_30,enrichi_socle_v1,site_pilote_valide,980da487-203e-40ae-9c1d-cea503be1860,filature des Roches,Saint-Pierre-du-Regard,61447,,,filature,filature_textile,textile_habillement_cuir,filature,revolution_premiere_industrialisation | industrialisation_rail_vapeur,revolution_premiere_industrialisation | industrialisation_rail_vapeur,geometrie_approximative,-0.5113380588965798,48.847518905647895,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/e12635a5-8541-4da5-b4ba-5972bd0fa103
IA00061052,pilote_30,enrichi_socle_v1,site_pilote_valide,314bf742-7125-4c6c-a4bd-26d6a047a9b1,"tannerie, usine de construction mécanique",L'Aigle,61214,Tanneurs (rue des) 12,,tannerie | usine de construction mécanique,tannerie_cuir | construction_mecanique,mecanique_electrique | textile_habillement_cuir,tannerie | usine,revolution_premiere_industrialisation | industrialisation_rail_vapeur | modernisation_apres_guerre,modernisation_apres_guerre,geometrie_approximative,0.6256774049932438,48.765865137537546,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/e23c856b-49bd-4bee-936b-d71617af3d3c
IA00061054,pilote_30,enrichi_socle_v1,site_pilote_valide,3d44d08b-e70d-4622-9387-a7538d86be3f,usine d'habillement,L'Aigle,61214,Louis Pasteur (rue) 7,,usine d'habillement,confection_habillement,textile_habillement_cuir,usine,industrialisation_rail_vapeur | guerres_entre_deux_guerres,industrialisation_rail_vapeur | guerres_entre_deux_guerres,geometrie_approximative,0.6241236493911818,48.76262194075353,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/3df6a5b3-e6ee-419e-b5ec-fb4f19b6384e
IA00061060,pilote_30,enrichi_socle_v1,site_pilote_valide,9435cb9d-0885-4a4b-9834-64e76ac0364b,"moulin à papier, grosse forge",Longny-au-Perche,61230,,Poêlerie (La),moulin à papier | grosse forge,fabrication_papier | forgeage | mouture_cereales | preparation_tan | transformation_lait,agroalimentaire | bois_papier_imprimerie | metallurgie_travail_metaux | textile_habillement_cuir,forge | fromagerie | moulin | papeterie,avant_1789 | revolution_premiere_industrialisation | industrialisation_rail_vapeur | guerres_entre_deux_guerres | modernisation_apres_guerre,avant_1789 | revolution_premiere_industrialisation | industrialisation_rail_vapeur,geometrie_approximative,0.7279717640432808,48.50400601367125,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/632379b8-efd3-4598-a3d3-258d1ba55691
IA00061073,pilote_30,enrichi_socle_v1,site_pilote_valide,f0bdb9e3-c3bf-41cd-8704-d630daf00661,"scierie Prout, puis Scierie Prout Frères, actuellement Maisons France Confort",Alençon,61001,Ancinnes (route d') 4 à 22,Perseigne (quartier de),scierie,sciage_bois,bois_papier_imprimerie,scierie,industrialisation_rail_vapeur | guerres_entre_deux_guerres | modernisation_apres_guerre,industrialisation_rail_vapeur | guerres_entre_deux_guerres | modernisation_apres_guerre,geometrie_approximative,0.09680089770291367,48.41774961815736,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/6cd7e92e-7abd-4818-b230-277b63bf11c6
IA00061091,pilote_30,enrichi_socle_v1,site_pilote_valide,8a492a03-5bac-4aa5-b48e-ed37239720e6,moulin à farine,Goulet,61194,,Moulin de Goulet,moulin à farine,mouture_cereales,agroalimentaire,moulin,revolution_premiere_industrialisation,revolution_premiere_industrialisation,geometrie_approximative,-0.06584261377186915,48.73816463006711,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/d04cb8f5-635e-4bf1-abc2-f4441b675c23
