dossier_reference,origine,statut_traitement,statut_site,site_id,titre_source,communes_source,insee_source,adresses_source,lieux_dits_source,denominations_source,activites_codes,secteurs_codes,installations_codes,periodes_activite_codes,periodes_source_codes,localisation_statut_code,longitude_source,latitude_source,decision_rapprochement,dossier_url
IA00060963,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,filature,Frênes,61177,,Rosée (La),filature,filature_textile,textile_habillement_cuir,filature,,industrialisation_rail_vapeur,source_non_controlee,-0.6693152669053777,48.78351514221074,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/17dd6c87-db50-497e-bd9a-e8f9b7666246
IA00060971,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,tannerie,Alençon,61001,Val Noble (rue du) 17,,tannerie,tannerie_cuir,textile_habillement_cuir,tannerie,,industrialisation_rail_vapeur,source_non_controlee,0.08461441945076252,48.42946905167175,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/bded1cd2-48ee-484c-8700-97e411bf750f
IA00060977,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,usine liée au travail du bois,Alençon,61001,"Basingstoke (avenue de) 77, 79",,usine liée au travail du bois,travail_bois,bois_papier_imprimerie,usine,,guerres_entre_deux_guerres | modernisation_apres_guerre,source_non_controlee,0.0963187880136845,48.44091023804762,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/bda44f05-b99e-463b-8019-9347f105f15a
IA00060982,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,tissage,La Ferté-Macé,61168,,Peupliers (Les),tissage,tissage,textile_habillement_cuir,tissage,,industrialisation_rail_vapeur,source_non_controlee,-0.3495214046521591,48.595981457148504,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/58d400e9-b245-40ac-bdc1-951d33f93f1e
IA00060988,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,usine de matériel d'équipement industriel dite usine Lurem,La Haute-Chapelle,61201,,Petite Forge (La),usine de matériel d'équipement industriel,construction_mecanique,mecanique_electrique,usine,,modernisation_apres_guerre,source_non_controlee,-0.6658745767265201,48.58727413409431,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/4a1dbf3d-9f32-4083-99ca-b1080b97bbc0
IA00060994,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,usine d'extraction,Chailloué,61081,,,usine d'extraction,extraction_miniere,extraction,usine_extraction,,industrialisation_rail_vapeur | guerres_entre_deux_guerres,source_non_controlee,0.2034939137099191,48.654212408884156,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/91df8d62-51c0-4bd5-84fc-f99011dfa932
IA00061001,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,usine de chaussures,La Ferté-Macé,61168,Clouet (rue de),,usine de chaussures,fabrication_chaussures,textile_habillement_cuir,usine,,industrialisation_rail_vapeur,source_non_controlee,-0.3607207511111852,48.59008351309217,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/341e5158-f94c-447e-a785-78ff45bbf74d
IA00061010,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,"moulin à farine, minoterie",Couterne,61135,Petite Vitesse (rue de la),,moulin à farine | minoterie,mouture_cereales | mouture_cereales,agroalimentaire,minoterie | moulin,,industrialisation_rail_vapeur | guerres_entre_deux_guerres,source_non_controlee,-0.4162401728073029,48.50953700369973,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/0970802c-ec7f-47d3-b927-be99e1eaeddb
IA00061015,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,"moulin à farine, usine de pâte à papier",Mâle,61246,,Moulin de Mâle (Le),moulin à farine | usine de pâte à papier,mouture_cereales | fabrication_papier,agroalimentaire | bois_papier_imprimerie,moulin | usine,,industrialisation_rail_vapeur,source_non_controlee,0.7463952580885334,48.280356930391285,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/4d921a1e-9cd2-497b-8670-7c168fc7bdbe
IA00061021,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,moulin à farine,Saint-Agnan-sur-Sarthe,61360,,Josselin (Le),moulin à farine,mouture_cereales,agroalimentaire,moulin,,industrialisation_rail_vapeur,source_non_controlee,0.42585583113409775,48.60662982893626,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/055b4787-db11-470d-9017-4ac147a1be2f
IA00061027,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,"usine de passementerie, usine de chaussures",Beaufai,61032,,Corru,usine de passementerie | usine de chaussures,passementerie | fabrication_chaussures,textile_habillement_cuir,usine,,revolution_premiere_industrialisation | industrialisation_rail_vapeur,source_non_controlee,0.538581723544252,48.74845336435086,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/8d2fc298-6106-4fb9-ace4-2b7ba53178c4
IA00061037,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,filature,Saint-Pierre-du-Regard,61447,,Champ Ferment (Le),filature,filature_textile,textile_habillement_cuir,filature,,industrialisation_rail_vapeur,source_non_controlee,-0.511061724277782,48.84564556345078,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/5b097d42-cbe4-4079-b0cc-df7323cc90ad
IA00061043,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,tissage,Flers,61169,Chaussée (rue de la),,tissage,tissage,textile_habillement_cuir,tissage,,industrialisation_rail_vapeur,source_non_controlee,-0.5650301499614981,48.744161485291436,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/13d93ded-5d35-484d-904a-ffde8bf27a69
IA00061048,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,"fonderie Renaudin, puis Société Nouvelle d'Exploitation Renaudin",Mâle,61246,,Ecu (L'),fonderie,fonderie,metallurgie_travail_metaux,fonderie,,industrialisation_rail_vapeur | guerres_entre_deux_guerres | modernisation_apres_guerre,source_non_controlee,0.7335819048867412,48.27319920455188,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/fee44f1a-cacf-4e6b-901a-b1db55222375
IA00061056,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,moulin à farine,Crulai,61140,,Moulin du Pont (Le),moulin à farine,mouture_cereales,agroalimentaire,moulin,,industrialisation_rail_vapeur,source_non_controlee,0.6603590709355139,48.7136409659732,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/78e2022c-4f96-40e7-81f1-d3586ae87247
IA00061063,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,tuilerie,Rémalard,61345,,Tuilerie (La),tuilerie,fabrication_tuiles,verre_ceramique_materiaux_construction,tuilerie,,avant_1789 | revolution_premiere_industrialisation,source_non_controlee,0.7929021288156838,48.44365476582519,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/40375f0f-d4f0-4478-98ed-f724ad669bc7
IA00061069,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,manufacture et scierie Bellêmoise,Saint-Martin-du-Vieux-Bellême,61426,"Pierre de Romanet (rue) 7, 9",,scierie,sciage_bois,bois_papier_imprimerie,scierie,,industrialisation_rail_vapeur | modernisation_apres_guerre,source_non_controlee,0.5425993766308884,48.38036350149532,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/cf003820-a2b8-4a09-8b4d-72a383e46fc0
IA00061076,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,usine de quincaillerie,L'Aigle,61214,,Haies (Les),usine de quincaillerie,fabrication_quincaillerie,metallurgie_travail_metaux,usine,,revolution_premiere_industrialisation | industrialisation_rail_vapeur,source_non_controlee,0.607678653852454,48.75794749939289,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/15df09f0-5249-4691-8e4d-f38157baead0
IA00061081,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,"moulin à farine dit moulin de Feugeroux, puis Tréfilerie Bigot",Sainte-Gauburge-Sainte-Colombe,61389,,,moulin à farine,mouture_cereales,agroalimentaire,moulin,,industrialisation_rail_vapeur,source_non_controlee,0.4312003788984675,48.710104766955084,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/4a78fd5d-d20b-4fbb-9b93-aa0709df8e65
IA00061087,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,haut fourneau de la Roche,Livaie,61228,,Fourneau (Le),haut fourneau,production_fonte,metallurgie_travail_metaux,haut_fourneau,,revolution_premiere_industrialisation | industrialisation_rail_vapeur,source_non_controlee,-0.046821074031807575,48.48427894177562,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/f271b311-4b6e-4234-8fb7-30ba3e51c803
IA00061094,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,affinerie dite forge de Gaillon,Randonnai,61343,,Gaillons (Les),affinerie,affinage_metaux,metallurgie_travail_metaux,affinerie,,avant_1789 | revolution_premiere_industrialisation,source_non_controlee,0.6638519922633122,48.64617543456002,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/1605cad5-d82b-4326-a5af-8d2913739cde
IA00061101,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,"haut fourneau, moulin à blé",Tourouvre,61491,,Fonte (La),haut fourneau | moulin à blé,production_fonte | mouture_cereales,agroalimentaire | metallurgie_travail_metaux,haut_fourneau | moulin,,avant_1789 | revolution_premiere_industrialisation | industrialisation_rail_vapeur,source_non_controlee,0.6976500149012115,48.58081738559075,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/84eaa0bf-354c-4c01-bc30-929f562b2b7c
IA00061107,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,"moulin à farine, minoterie",Bivilliers,61045,,Peltrie (La),moulin à farine | minoterie,mouture_cereales | mouture_cereales,agroalimentaire,minoterie | moulin,,industrialisation_rail_vapeur | guerres_entre_deux_guerres | mutations_reconversions,source_non_controlee,0.6134958546227796,48.57833108312378,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/df941cfb-6758-48e8-937f-62020b560891
IA00061112,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,haut fourneau,Longny-au-Perche,61230,,Rainville,haut fourneau,production_fonte,metallurgie_travail_metaux,haut_fourneau,,avant_1789 | revolution_premiere_industrialisation | industrialisation_rail_vapeur,source_non_controlee,0.7707042356303826,48.54435866695,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/f7f9721f-8fbf-46cb-b669-93dc5606b248
IA00061121,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,filature,Athis-de-l'Orne,61007,,Réservoir (Le),filature,filature_textile,textile_habillement_cuir,filature,,industrialisation_rail_vapeur | guerres_entre_deux_guerres | modernisation_apres_guerre,source_non_controlee,-0.5294009951014579,48.82402201932426,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/be32a865-e7dd-4406-9826-f6167f92efc4
IA00061127,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,usine de matériel électroménager dite usine Moulinex,Argentan,61006,Commerce (rue du) 25,,usine de matériel électroménager,fabrication_materiel_electrique,mecanique_electrique,usine,,modernisation_apres_guerre,source_non_controlee,-0.02931933161975004,48.73419203382837,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/1b8c5ef7-d2e9-44f9-afbc-1d714f6675e7
IA00061134,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,usine de fabrication des métaux,Boucé,61055,,Grosse Forge,usine de fabrication des métaux,fabrication_metaux,metallurgie_travail_metaux,usine,,avant_1789,source_non_controlee,-0.08500658671227664,48.647494988750886,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/8769226f-24f3-4898-8664-bb903cd2e237
IA00061141,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,moulin à papier,Saint-Victor-de-Réno,61458,,Moulin-Neuf (Le),moulin à papier,fabrication_papier,bois_papier_imprimerie,papeterie,,revolution_premiere_industrialisation | guerres_entre_deux_guerres | modernisation_apres_guerre,source_non_controlee,0.7033964120834467,48.509149236547636,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/bf1fdc43-1afc-45d1-876a-bdec4cb71c0a
IA00061146,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,"moulin à foulon, tréfilerie",Vitrai-sous-Laigle,61510,,Moulin de la Foulerie (Le),moulin à foulon | tréfilerie,foulage_textile | trefilage_metaux,metallurgie_travail_metaux | textile_habillement_cuir,moulin | usine,,revolution_premiere_industrialisation | industrialisation_rail_vapeur,source_non_controlee,0.6969182667224482,48.730701950630184,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/d89c08a5-24d5-41d5-a5cd-68ea0f8760df
IA00061154,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,"tréfilerie, usine de quincaillerie",Saint-Sulpice-sur-Risle,61456,,Fosse (La),tréfilerie | usine de quincaillerie,trefilage_metaux | fabrication_quincaillerie,metallurgie_travail_metaux,usine,,revolution_premiere_industrialisation | industrialisation_rail_vapeur,source_non_controlee,0.6433651547612741,48.76963473306186,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/1d238529-8f37-4a77-af3f-bde40720b882
IA00061161,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,moulin à papier,Canapville,61072,,,moulin à papier,fabrication_papier,bois_papier_imprimerie,papeterie,,industrialisation_rail_vapeur,source_non_controlee,0.2636746919300669,48.958930064153925,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/997fbf0b-081a-41ca-afc1-ec45e05f3a54
IA00061168,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,moulin à farine,Nonant-le-Pin,61310,,Moulin Girou (Le),moulin à farine,mouture_cereales,agroalimentaire,moulin,,industrialisation_rail_vapeur,source_non_controlee,0.19820159126116538,48.70304053030052,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/9850ea9f-77d8-4d11-9179-067c3047291f
IA00061174,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,"fenderie, moulin à blé",Montmerrei,61288,,Fenderie (La),fenderie | moulin à blé,fabrication_metaux | mouture_cereales,agroalimentaire | metallurgie_travail_metaux,moulin | usine,,avant_1789 | revolution_premiere_industrialisation,source_non_controlee,0.04187099004780732,48.61627477352811,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/ad7f8666-1272-420a-bfef-208adc638206
IA00061179,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,imprimerie,Flers,61169,Jules Gevelot (rue) 24,,imprimerie,imprimerie,bois_papier_imprimerie,imprimerie,,industrialisation_rail_vapeur,source_non_controlee,-0.5715954614258228,48.75117676630784,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/f0494843-26ec-42e0-bbf4-8080825095af
IA00061185,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,"distillerie, cidrerie",Gacé,61181,,Rançonnières (Les),distillerie | cidrerie,distillation_alimentaire | production_cidre,agroalimentaire,cidrerie | distillerie,,industrialisation_rail_vapeur | guerres_entre_deux_guerres,source_non_controlee,0.2991033520069833,48.784346898685136,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/2d0b8b65-128a-41b8-84ea-f7e285191de0
IA00061191,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,tissage,Saint-Georges-des-Groseillers,61391,,Tremblay (Le),tissage,tissage,textile_habillement_cuir,tissage,,industrialisation_rail_vapeur | guerres_entre_deux_guerres,source_non_controlee,-0.5768761559617352,48.75353050958973,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/7d8065d7-1e45-4b91-a03a-de2e1cff3468
IA00061197,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,tuilerie,Trun,61494,,Grandes Crouttes (Les),tuilerie,fabrication_tuiles,verre_ceramique_materiaux_construction,tuilerie,,industrialisation_rail_vapeur,source_non_controlee,0.062441089962588875,48.855627373924115,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/82ece625-4edb-4a32-9547-9305a585b7d1
IA00061203,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,moulin à farine,Domfront,61145,Notre-Dame,,moulin à farine,mouture_cereales,agroalimentaire,moulin,,industrialisation_rail_vapeur,source_non_controlee,-0.6567598422047569,48.591642955407615,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/5f52703f-f04a-4fcb-ae05-4d0e785b38f7
