dossier_reference,origine,statut_traitement,statut_site,site_id,titre_source,communes_source,insee_source,adresses_source,lieux_dits_source,denominations_source,activites_codes,secteurs_codes,installations_codes,periodes_activite_codes,periodes_source_codes,localisation_statut_code,longitude_source,latitude_source,decision_rapprochement,dossier_url,type_dossier_source,composants_non_productifs_source
IA00061002,pilote_30,enrichi_socle_v1,site_pilote_valide,f7b9e26f-4dd7-428f-a7e8-659c432904af,imprimerie Alençonnaise,Alençon,61001,Poulet Malassis (place) 19,,imprimerie,imprimerie,bois_papier_imprimerie,imprimerie,industrialisation_rail_vapeur | guerres_entre_deux_guerres | modernisation_apres_guerre,industrialisation_rail_vapeur | guerres_entre_deux_guerres | modernisation_apres_guerre,geometrie_approximative,0.08865273502274014,48.432512077974245,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/412bdd9c-fba0-4186-a292-cdce3d04da94,dossier individuel,
IA00061003,pilote_30,enrichi_socle_v1,site_pilote_valide,04264fa9-c2d1-4d5e-b709-bdb1d3836a9b,four à chaux,Les Rotours,61354,,,four à chaux,fabrication_chaux_ciment,verre_ceramique_materiaux_construction,four_chaux,avant_1789 | revolution_premiere_industrialisation,avant_1789 | revolution_premiere_industrialisation,geometrie_approximative,-0.2611416389081272,48.77974105802658,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/3b93acab-5a9a-4e6c-ae7d-96d51e5a6e92,dossier individuel,
IA00061008,pilote_30,enrichi_socle_v1,site_pilote_valide,2bcf41f5-1242-46d9-9809-8fff7fbdae14,usine d'extraction dite Mine de Halouze,Saint-Clair-de-Halouze,61376,,Puits 2 (Le),usine d'extraction,extraction_miniere,extraction,usine_extraction,industrialisation_rail_vapeur | guerres_entre_deux_guerres | modernisation_apres_guerre,industrialisation_rail_vapeur | guerres_entre_deux_guerres | modernisation_apres_guerre,geometrie_approximative,-0.6186115235885614,48.690929837651005,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/dd0c25a9-e2ed-4615-b008-b03551f35864,dossier individuel,
IA00061029,pilote_30,enrichi_socle_v1,site_pilote_valide,43d7512d-7196-4864-bc90-64b3b3474bce,affinerie,Aube,61008,,Forge (La),affinerie,affinage_metaux | forgeage,metallurgie_travail_metaux,affinerie | forge,avant_1789 | revolution_premiere_industrialisation | industrialisation_rail_vapeur | guerres_entre_deux_guerres,avant_1789 | revolution_premiere_industrialisation | industrialisation_rail_vapeur,geometrie_approximative,0.5526895033235633,48.74212960732837,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/9354356d-808f-412a-95b3-2dc2b2c99cdc,dossier individuel,
IA00061035,pilote_30,enrichi_socle_v1,site_pilote_valide,980da487-203e-40ae-9c1d-cea503be1860,filature des Roches,Saint-Pierre-du-Regard,61447,,,filature,filature_textile,textile_habillement_cuir,filature,revolution_premiere_industrialisation | industrialisation_rail_vapeur,revolution_premiere_industrialisation | industrialisation_rail_vapeur,geometrie_approximative,-0.5113380588965798,48.847518905647895,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/e12635a5-8541-4da5-b4ba-5972bd0fa103,dossier individuel,
IA00061052,pilote_30,enrichi_socle_v1,site_pilote_valide,314bf742-7125-4c6c-a4bd-26d6a047a9b1,"tannerie, usine de construction mécanique",L'Aigle,61214,Tanneurs (rue des) 12,,tannerie | usine de construction mécanique,tannerie_cuir | construction_mecanique,mecanique_electrique | textile_habillement_cuir,tannerie | usine,revolution_premiere_industrialisation | industrialisation_rail_vapeur | modernisation_apres_guerre,modernisation_apres_guerre,geometrie_approximative,0.6256774049932438,48.765865137537546,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/e23c856b-49bd-4bee-936b-d71617af3d3c,dossier individuel,
IA00061054,pilote_30,enrichi_socle_v1,site_pilote_valide,3d44d08b-e70d-4622-9387-a7538d86be3f,usine d'habillement,L'Aigle,61214,Louis Pasteur (rue) 7,,usine d'habillement,confection_habillement,textile_habillement_cuir,usine,industrialisation_rail_vapeur | guerres_entre_deux_guerres,industrialisation_rail_vapeur | guerres_entre_deux_guerres,geometrie_approximative,0.6241236493911818,48.76262194075353,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/3df6a5b3-e6ee-419e-b5ec-fb4f19b6384e,dossier individuel,
IA00061073,pilote_30,enrichi_socle_v1,site_pilote_valide,f0bdb9e3-c3bf-41cd-8704-d630daf00661,"scierie Prout, puis Scierie Prout Frères, actuellement Maisons France Confort",Alençon,61001,Ancinnes (route d') 4 à 22,Perseigne (quartier de),scierie,sciage_bois,bois_papier_imprimerie,scierie,industrialisation_rail_vapeur | guerres_entre_deux_guerres | modernisation_apres_guerre,industrialisation_rail_vapeur | guerres_entre_deux_guerres | modernisation_apres_guerre,geometrie_approximative,0.09680089770291367,48.41774961815736,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/6cd7e92e-7abd-4818-b230-277b63bf11c6,dossier individuel,
IA00061091,pilote_30,enrichi_socle_v1,site_pilote_valide,8a492a03-5bac-4aa5-b48e-ed37239720e6,moulin à farine,Goulet,61194,,Moulin de Goulet,moulin à farine,mouture_cereales,agroalimentaire,moulin,revolution_premiere_industrialisation,revolution_premiere_industrialisation,geometrie_approximative,-0.06584261377186915,48.73816463006711,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/d04cb8f5-635e-4bf1-abc2-f4441b675c23,dossier individuel,
IA00061095,pilote_30,enrichi_socle_v1,site_pilote_valide,82718138-99cb-45fb-a081-95b61c5dce48,briqueterie,L'Hôme-Chamondot,61206,,Chauffetières (Les),briqueterie,fabrication_briques,verre_ceramique_materiaux_construction,briqueterie,mutations_reconversions,mutations_reconversions,geometrie_approximative,0.7152285849659745,48.614992408344285,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/061971a0-e7ce-4ace-be21-d4b6f8aa2705,dossier individuel,
IA00061113,pilote_30,enrichi_socle_v1,site_pilote_valide,be1c19ae-3062-4f64-b8db-602ab713f052,"laminoir, usine de quincaillerie dite usine de la Batterie",Saint-Sulpice-sur-Risle,61456,,Moulin à Tan (Le),laminoir | usine de quincaillerie,laminage_metaux | fabrication_quincaillerie,metallurgie_travail_metaux,laminoir | usine,revolution_premiere_industrialisation | industrialisation_rail_vapeur | guerres_entre_deux_guerres | modernisation_apres_guerre,revolution_premiere_industrialisation | industrialisation_rail_vapeur,geometrie_approximative,0.648168264558847,48.77481321857863,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/85be1da1-cd39-444b-bab2-2219605d469c,dossier individuel,
IA00061117,pilote_30,enrichi_socle_v1,site_pilote_valide,af60a402-a20e-4cca-b3c9-a81921d4e2e8,briqueterie Saint-Martin,Argentan,61006,,Sainte-Anne,briqueterie,fabrication_briques,verre_ceramique_materiaux_construction,briqueterie,industrialisation_rail_vapeur | guerres_entre_deux_guerres,industrialisation_rail_vapeur | guerres_entre_deux_guerres,geometrie_approximative,-0.037485884350861635,48.75668430101197,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/90ded92e-ceb4-42bd-8d71-67e5ae24dd36,dossier individuel,
IA00061119,pilote_30,enrichi_socle_v1,site_pilote_valide,687037bf-bf42-4ee7-a5f4-e79d60a38cc1,filature de la Martinique,Athis-de-l'Orne,61007,,Petite Suisse (La),filature,filature_textile,textile_habillement_cuir,filature,revolution_premiere_industrialisation | industrialisation_rail_vapeur | guerres_entre_deux_guerres | modernisation_apres_guerre,revolution_premiere_industrialisation | industrialisation_rail_vapeur | guerres_entre_deux_guerres | modernisation_apres_guerre,geometrie_approximative,-0.5264803216151851,48.8263948592895,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/b0d5ba20-5410-4029-a240-8f1d3c45de1a,dossier individuel,
IA00061133,pilote_30,enrichi_socle_v1,site_pilote_valide,ca91c449-cb94-4c38-a230-023dbec512cd,"laiterie industrielle, fromagerie industrielle dite laiterie fromagerie Lavalou",Le Bourg-Saint-Léonard,61057,,,laiterie industrielle | fromagerie industrielle,transformation_lait | transformation_lait,agroalimentaire,fromagerie | laiterie,industrialisation_rail_vapeur | guerres_entre_deux_guerres | modernisation_apres_guerre | mutations_reconversions,industrialisation_rail_vapeur | guerres_entre_deux_guerres,geometrie_approximative,0.10359277019030935,48.76502373879208,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/a49b849a-2c3f-43da-ba37-1654a0828017,dossier individuel,
IA00061135,pilote_30,enrichi_socle_v1,site_pilote_valide,2f3e86c1-08b4-4131-9a06-8f30764843cb,fonderies du Perche,Irai,61208,,Cernetterie (La),fonderie,fonderie,metallurgie_travail_metaux,fonderie,industrialisation_rail_vapeur | guerres_entre_deux_guerres,industrialisation_rail_vapeur | guerres_entre_deux_guerres,geometrie_approximative,0.6740319616145599,48.65300669671029,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/a5bef7bf-b391-44f0-b9fe-2a4e452370d4,dossier individuel,
IA00061147,pilote_30,enrichi_socle_v1,site_pilote_valide,c528f629-8337-49c9-873c-75ecc067a7a3,cartonnerie,Saint-Langis-lès-Mortagne,61414,,Gare (La),cartonnerie,fabrication_carton,bois_papier_imprimerie,cartonnerie,guerres_entre_deux_guerres | modernisation_apres_guerre,guerres_entre_deux_guerres | modernisation_apres_guerre,geometrie_approximative,0.5490432071424247,48.50881005375055,candidat_a_verifier,https://inventaire-patrimoine.normandie.fr/dossier/3624a154-3a9a-40aa-9b62-a284ba7cbb38,dossier individuel,
IA00061153,pilote_30,enrichi_socle_v1,site_pilote_valide,b1136ddb-9fff-4209-8328-e5caed705388,affinerie dite forge de Beaumont,Longny-au-Perche,61230,,Forge (La),affinerie,affinage_metaux,metallurgie_travail_metaux,affinerie,avant_1789 | revolution_premiere_industrialisation | industrialisation_rail_vapeur,avant_1789 | industrialisation_rail_vapeur,geometrie_approximative,0.7468896435126247,48.51539072960532,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/451e1db8-8019-43bb-8934-b6a85c84b000,dossier individuel,
IA00061155,pilote_30,enrichi_socle_v1,site_pilote_valide,890265c5-e62f-45f7-aed2-08fb1814f457,"usine de quincaillerie, tréfilerie dite établissements Bohin",Saint-Sulpice-sur-Risle,61456,,,usine de quincaillerie | tréfilerie,fabrication_quincaillerie | trefilage_metaux,metallurgie_travail_metaux,usine,revolution_premiere_industrialisation,revolution_premiere_industrialisation | industrialisation_rail_vapeur | guerres_entre_deux_guerres,geometrie_approximative,0.6568775300978867,48.77913238860982,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/8e086fa2-48a8-45f7-bd02-99d65e20eb6a,dossier individuel,
IA00061166,pilote_30,enrichi_socle_v1,site_pilote_valide,35c5c701-5158-4714-aa11-6946f7fae290,cidrerie distillerie dite cidrerie distillerie Pépin,Écouché,61153,"Général de Gaulle (avenue du) 5, 9",,cidrerie | distillerie,production_cidre | distillation_alimentaire,agroalimentaire,cidrerie | distillerie,industrialisation_rail_vapeur | guerres_entre_deux_guerres | modernisation_apres_guerre | mutations_reconversions,industrialisation_rail_vapeur | guerres_entre_deux_guerres | modernisation_apres_guerre,geometrie_approximative,-0.12137461962188618,48.71420362780827,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/a1a400fd-3841-4653-a97b-df83a755edee,dossier individuel,
IA00060886,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,scierie de Saint-Evroult,Saint-Evroult-Notre-Dame-du-Bois,61386,,,scierie,sciage_bois,bois_papier_imprimerie,scierie,,industrialisation_rail_vapeur,source_non_controlee,0.4678298343674747,48.7839395005013,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/ac551034-af77-49ae-b783-93b8082f3fb2,dossier individuel,
IA00060892,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,filature de coton,Ménil-Hubert-sur-Orne,61269,,Bateau (Le),filature,filature_textile,textile_habillement_cuir,filature,,industrialisation_rail_vapeur | guerres_entre_deux_guerres | modernisation_apres_guerre,source_non_controlee,-0.397570969637022,48.85651269472857,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/56f6086f-45f4-4898-a92d-01c3877e751a,dossier individuel,
IA00060899,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,haut fourneau,Rânes,61344,,Fourneau (Le),haut fourneau,production_fonte,metallurgie_travail_metaux,haut_fourneau,,avant_1789,source_non_controlee,-0.21143545726767699,48.62191705928494,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/241fb84d-5d76-4ec3-9868-368485c43bbc,dossier individuel,
IA00060907,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,usine de confection,Flers,61169,11e Division Britannique (rue de la) 33,,usine de confection,confection_habillement,textile_habillement_cuir,usine,,guerres_entre_deux_guerres | modernisation_apres_guerre,source_non_controlee,-0.5697684690933215,48.751537545057566,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/b03e3c23-feab-4456-bf5c-3902b8bb7488,dossier individuel,
IA00060914,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,tissage (tissage de Coton) dit tissage de la Blanchardière,Flers,61169,Durmeyer (rue) 16,,tissage,tissage,textile_habillement_cuir,tissage,,industrialisation_rail_vapeur | guerres_entre_deux_guerres | modernisation_apres_guerre,source_non_controlee,-0.5761359134633843,48.742928798775004,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/83cddd58-ad05-4930-98cc-fdfad6dd518d,dossier individuel,
IA00060920,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,scierie,Saint-Germain-de-Clairefeuille,61393,,Scierie (La),scierie,sciage_bois,bois_papier_imprimerie,scierie,,guerres_entre_deux_guerres | modernisation_apres_guerre,source_non_controlee,0.23551638196666144,48.73046090546557,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/9ec3d6b1-bf68-4db3-8138-ef1366985e52,dossier individuel,
IA00060926,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,"usine de ferblanterie, usine de serrurerie",Tinchebray,61486,"Porets (rue au) 11, 13",,usine de ferblanterie | usine de serrurerie,fabrication_metaux | fabrication_quincaillerie,metallurgie_travail_metaux,usine,,industrialisation_rail_vapeur,source_non_controlee,-0.7273491653432106,48.76397087591518,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/eaea568b-7601-4bdf-8f38-5fadccbc4d80,dossier individuel,
IA00060932,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,usine de confection,Flers,61169,Boule (rue de la) 80,,usine de confection,confection_habillement,textile_habillement_cuir,usine,,guerres_entre_deux_guerres | modernisation_apres_guerre,source_non_controlee,-0.5714601218313395,48.753575680223996,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/6017fa46-e6f0-4085-8760-68bb54cfc44d,dossier individuel,
IA00060939,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,fromagerie industrielle,Le Renouard,61346,,Vignette (La),fromagerie industrielle,transformation_lait,agroalimentaire,fromagerie,,industrialisation_rail_vapeur | guerres_entre_deux_guerres,source_non_controlee,0.08040427513680662,48.92687192121918,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/fceacf84-952a-4d8d-8db0-efdf2cc7b3ad,dossier individuel,
IA00060945,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,moulin à farine,Saint-Martin-l'Aiguillon,61427,,Moulin de Crochet (Le),moulin à farine,mouture_cereales,agroalimentaire,moulin,,revolution_premiere_industrialisation,source_non_controlee,-0.16683424539079367,48.60742089732103,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/c00da04a-cc2a-460e-aced-1c44ff737c01,dossier individuel,
IA00060950,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,moulin à farine,Macé,61240,,Boue,moulin à farine,mouture_cereales,agroalimentaire,moulin,,industrialisation_rail_vapeur,source_non_controlee,0.10845493725543898,48.65369860837976,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/fec36c1b-86bf-42e2-857d-559a5ac73865,dossier individuel,
IA00060956,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,"cidrerie, distillerie puis, laiterie industrielle",Mantilly,61248,,Landes (Les),cidrerie | distillerie | laiterie industrielle,production_cidre | distillation_alimentaire | transformation_lait,agroalimentaire,cidrerie | distillerie | laiterie,,industrialisation_rail_vapeur | guerres_entre_deux_guerres,source_non_controlee,-0.8133125215700684,48.50431194314542,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/71f0f9d8-3b40-4722-9455-a9d026e77b8d,dossier individuel,
IA00060963,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,filature,Frênes,61177,,Rosée (La),filature,filature_textile,textile_habillement_cuir,filature,,industrialisation_rail_vapeur,source_non_controlee,-0.6693152669053777,48.78351514221074,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/17dd6c87-db50-497e-bd9a-e8f9b7666246,dossier individuel,
IA00060971,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,tannerie,Alençon,61001,Val Noble (rue du) 17,,tannerie,tannerie_cuir,textile_habillement_cuir,tannerie,,industrialisation_rail_vapeur,source_non_controlee,0.08461441945076252,48.42946905167175,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/bded1cd2-48ee-484c-8700-97e411bf750f,dossier individuel,
IA00060977,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,usine liée au travail du bois,Alençon,61001,"Basingstoke (avenue de) 77, 79",,usine liée au travail du bois,travail_bois,bois_papier_imprimerie,usine,,guerres_entre_deux_guerres | modernisation_apres_guerre,source_non_controlee,0.0963187880136845,48.44091023804762,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/bda44f05-b99e-463b-8019-9347f105f15a,dossier individuel,
IA00060982,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,tissage,La Ferté-Macé,61168,,Peupliers (Les),tissage,tissage,textile_habillement_cuir,tissage,,industrialisation_rail_vapeur,source_non_controlee,-0.3495214046521591,48.595981457148504,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/58d400e9-b245-40ac-bdc1-951d33f93f1e,dossier individuel,
IA00060988,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,usine de matériel d'équipement industriel dite usine Lurem,La Haute-Chapelle,61201,,Petite Forge (La),usine de matériel d'équipement industriel,construction_mecanique,mecanique_electrique,usine,,modernisation_apres_guerre,source_non_controlee,-0.6658745767265201,48.58727413409431,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/4a1dbf3d-9f32-4083-99ca-b1080b97bbc0,dossier individuel,
IA00060994,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,usine d'extraction,Chailloué,61081,,,usine d'extraction,extraction_miniere,extraction,usine_extraction,,industrialisation_rail_vapeur | guerres_entre_deux_guerres,source_non_controlee,0.2034939137099191,48.654212408884156,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/91df8d62-51c0-4bd5-84fc-f99011dfa932,dossier individuel,
IA00061001,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,usine de chaussures,La Ferté-Macé,61168,Clouet (rue de),,usine de chaussures,fabrication_chaussures,textile_habillement_cuir,usine,,industrialisation_rail_vapeur,source_non_controlee,-0.3607207511111852,48.59008351309217,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/341e5158-f94c-447e-a785-78ff45bbf74d,dossier individuel,
IA00061010,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,"moulin à farine, minoterie",Couterne,61135,Petite Vitesse (rue de la),,moulin à farine | minoterie,mouture_cereales | mouture_cereales,agroalimentaire,minoterie | moulin,,industrialisation_rail_vapeur | guerres_entre_deux_guerres,source_non_controlee,-0.4162401728073029,48.50953700369973,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/0970802c-ec7f-47d3-b927-be99e1eaeddb,dossier individuel,
