dossier_reference,statut,titre_source,communes_source,insee_source,adresses_source,denominations_source,activites_codes,secteurs_codes,installations_codes,scle_source,dossier_url
IA00061021,un_site_presume_a_verifier,moulin à farine,Saint-Agnan-sur-Sarthe,61360,,moulin à farine,mouture_cereales,agroalimentaire,moulin,3e quart 19e siècle | 4e quart 19e siècle,https://inventaire-patrimoine.normandie.fr/dossier/055b4787-db11-470d-9017-4ac147a1be2f
IA00061027,un_site_presume_a_verifier,"usine de passementerie, usine de chaussures",Beaufai,61032,,usine de passementerie | usine de chaussures,fabrication_chaussures | passementerie,textile_habillement_cuir,usine,2e quart 19e siècle | 3e quart 19e siècle | 4e quart 19e siècle,https://inventaire-patrimoine.normandie.fr/dossier/8d2fc298-6106-4fb9-ace4-2b7ba53178c4
IA00061037,un_site_presume_a_verifier,filature,Saint-Pierre-du-Regard,61447,,filature,filature_textile,textile_habillement_cuir,filature,3e quart 19e siècle,https://inventaire-patrimoine.normandie.fr/dossier/5b097d42-cbe4-4079-b0cc-df7323cc90ad
IA00061043,un_site_presume_a_verifier,tissage,Flers,61169,Chaussée (rue de la),tissage,tissage,textile_habillement_cuir,tissage,3e quart 19e siècle | 4e quart 19e siècle,https://inventaire-patrimoine.normandie.fr/dossier/13d93ded-5d35-484d-904a-ffde8bf27a69
IA00061048,un_site_presume_a_verifier,"fonderie Renaudin, puis Société Nouvelle d'Exploitation Renaudin",Mâle,61246,,fonderie,fonderie,metallurgie_travail_metaux,fonderie,4e quart 19e siècle | 2e quart 20e siècle,https://inventaire-patrimoine.normandie.fr/dossier/fee44f1a-cacf-4e6b-901a-b1db55222375
IA00061056,un_site_presume_a_verifier,moulin à farine,Crulai,61140,,moulin à farine,mouture_cereales,agroalimentaire,moulin,4e quart 19e siècle,https://inventaire-patrimoine.normandie.fr/dossier/78e2022c-4f96-40e7-81f1-d3586ae87247
IA00061063,un_site_presume_a_verifier,tuilerie,Rémalard,61345,,tuilerie,fabrication_tuiles,verre_ceramique_materiaux_construction,tuilerie,18e siècle (?),https://inventaire-patrimoine.normandie.fr/dossier/40375f0f-d4f0-4478-98ed-f724ad669bc7
IA00061069,un_site_presume_a_verifier,manufacture et scierie Bellêmoise,Saint-Martin-du-Vieux-Bellême,61426,"Pierre de Romanet (rue) 7, 9",scierie,sciage_bois,bois_papier_imprimerie,scierie,3e quart 19e siècle | 4e quart 19e siècle | 3e quart 20e siècle,https://inventaire-patrimoine.normandie.fr/dossier/cf003820-a2b8-4a09-8b4d-72a383e46fc0
IA00061076,un_site_presume_a_verifier,usine de quincaillerie,L'Aigle,61214,,usine de quincaillerie,fabrication_quincaillerie,metallurgie_travail_metaux,usine,2e quart 19e siècle,https://inventaire-patrimoine.normandie.fr/dossier/15df09f0-5249-4691-8e4d-f38157baead0
IA00061081,un_site_presume_a_verifier,"moulin à farine dit moulin de Feugeroux, puis Tréfilerie Bigot",Sainte-Gauburge-Sainte-Colombe,61389,,moulin à farine,mouture_cereales,agroalimentaire,moulin,3e quart 19e siècle,https://inventaire-patrimoine.normandie.fr/dossier/4a78fd5d-d20b-4fbb-9b93-aa0709df8e65
IA00061087,un_site_presume_a_verifier,haut fourneau de la Roche,Livaie,61228,,haut fourneau,production_fonte,metallurgie_travail_metaux,haut_fourneau,2e quart 19e siècle,https://inventaire-patrimoine.normandie.fr/dossier/f271b311-4b6e-4234-8fb7-30ba3e51c803
IA00061094,un_site_presume_a_verifier,affinerie dite forge de Gaillon,Randonnai,61343,,affinerie,affinage_metaux,metallurgie_travail_metaux,affinerie,4e quart 15e siècle (détruit) | 1er quart 19e siècle,https://inventaire-patrimoine.normandie.fr/dossier/1605cad5-d82b-4326-a5af-8d2913739cde
IA00061101,un_site_presume_a_verifier,"haut fourneau, moulin à blé",Tourouvre,61491,,haut fourneau | moulin à blé,mouture_cereales | production_fonte,agroalimentaire | metallurgie_travail_metaux,haut_fourneau | moulin,3e quart 17e siècle (détruit) | 2e quart 19e siècle,https://inventaire-patrimoine.normandie.fr/dossier/84eaa0bf-354c-4c01-bc30-929f562b2b7c
IA00061107,un_site_presume_a_verifier,"moulin à farine, minoterie",Bivilliers,61045,,moulin à farine | minoterie,mouture_cereales,agroalimentaire,minoterie | moulin,1er quart 20e siècle | 4e quart 20e siècle,https://inventaire-patrimoine.normandie.fr/dossier/df941cfb-6758-48e8-937f-62020b560891
IA00061112,un_site_presume_a_verifier,haut fourneau,Longny-au-Perche,61230,,haut fourneau,production_fonte,metallurgie_travail_metaux,haut_fourneau,1er quart 18e siècle | 4e quart 18e siècle | milieu 19e siècle,https://inventaire-patrimoine.normandie.fr/dossier/f7f9721f-8fbf-46cb-b669-93dc5606b248
IA00061121,un_site_presume_a_verifier,filature,Athis-de-l'Orne,61007,,filature,filature_textile,textile_habillement_cuir,filature,4e quart 19e siècle | 2e quart 20e siècle,https://inventaire-patrimoine.normandie.fr/dossier/be32a865-e7dd-4406-9826-f6167f92efc4
IA00061127,un_site_presume_a_verifier,usine de matériel électroménager dite usine Moulinex,Argentan,61006,Commerce (rue du) 25,usine de matériel électroménager,fabrication_materiel_electrique,mecanique_electrique,usine,3e quart 20e siècle,https://inventaire-patrimoine.normandie.fr/dossier/1b8c5ef7-d2e9-44f9-afbc-1d714f6675e7
IA00061134,un_site_presume_a_verifier,usine de fabrication des métaux,Boucé,61055,,usine de fabrication des métaux,fabrication_metaux,metallurgie_travail_metaux,usine,1ère moitié 17e siècle (?),https://inventaire-patrimoine.normandie.fr/dossier/8769226f-24f3-4898-8664-bb903cd2e237
IA00061141,un_site_presume_a_verifier,moulin à papier,Saint-Victor-de-Réno,61458,,moulin à papier,fabrication_papier,bois_papier_imprimerie,papeterie,limite 18e siècle 19e siècle | 2e quart 20e siècle,https://inventaire-patrimoine.normandie.fr/dossier/bf1fdc43-1afc-45d1-876a-bdec4cb71c0a
IA00061146,un_site_presume_a_verifier,"moulin à foulon, tréfilerie",Vitrai-sous-Laigle,61510,,moulin à foulon | tréfilerie,foulage_textile | trefilage_metaux,metallurgie_travail_metaux | textile_habillement_cuir,moulin | usine,1er quart 19e siècle | 3e quart 19e siècle | 4e quart 19e siècle,https://inventaire-patrimoine.normandie.fr/dossier/d89c08a5-24d5-41d5-a5cd-68ea0f8760df
IA00061154,un_site_presume_a_verifier,"tréfilerie, usine de quincaillerie",Saint-Sulpice-sur-Risle,61456,,tréfilerie | usine de quincaillerie,fabrication_quincaillerie | trefilage_metaux,metallurgie_travail_metaux,usine,2e quart 19e siècle,https://inventaire-patrimoine.normandie.fr/dossier/1d238529-8f37-4a77-af3f-bde40720b882
IA00061161,un_site_presume_a_verifier,moulin à papier,Canapville,61072,,moulin à papier,fabrication_papier,bois_papier_imprimerie,papeterie,4e quart 19e siècle,https://inventaire-patrimoine.normandie.fr/dossier/997fbf0b-081a-41ca-afc1-ec45e05f3a54
IA00061168,un_site_presume_a_verifier,moulin à farine,Nonant-le-Pin,61310,,moulin à farine,mouture_cereales,agroalimentaire,moulin,3e quart 19e siècle,https://inventaire-patrimoine.normandie.fr/dossier/9850ea9f-77d8-4d11-9179-067c3047291f
IA00061174,un_site_presume_a_verifier,"fenderie, moulin à blé",Montmerrei,61288,,fenderie | moulin à blé,fabrication_metaux | mouture_cereales,agroalimentaire | metallurgie_travail_metaux,moulin | usine,3e quart 17e siècle (détruit) | 1er quart 19e siècle,https://inventaire-patrimoine.normandie.fr/dossier/ad7f8666-1272-420a-bfef-208adc638206
IA00061179,un_site_presume_a_verifier,imprimerie,Flers,61169,Jules Gevelot (rue) 24,imprimerie,imprimerie,bois_papier_imprimerie,imprimerie,4e quart 19e siècle,https://inventaire-patrimoine.normandie.fr/dossier/f0494843-26ec-42e0-bbf4-8080825095af
IA00061185,un_site_presume_a_verifier,"distillerie, cidrerie",Gacé,61181,,distillerie | cidrerie,distillation_alimentaire | production_cidre,agroalimentaire,cidrerie | distillerie,1er quart 20e siècle,https://inventaire-patrimoine.normandie.fr/dossier/2d0b8b65-128a-41b8-84ea-f7e285191de0
IA00061191,un_site_presume_a_verifier,tissage,Saint-Georges-des-Groseillers,61391,,tissage,tissage,textile_habillement_cuir,tissage,4e quart 19e siècle | 1er quart 20e siècle,https://inventaire-patrimoine.normandie.fr/dossier/7d8065d7-1e45-4b91-a03a-de2e1cff3468
IA00061197,un_site_presume_a_verifier,tuilerie,Trun,61494,,tuilerie,fabrication_tuiles,verre_ceramique_materiaux_construction,tuilerie,3e quart 19e siècle,https://inventaire-patrimoine.normandie.fr/dossier/82ece625-4edb-4a32-9547-9305a585b7d1
IA00061203,un_site_presume_a_verifier,moulin à farine,Domfront,61145,Notre-Dame,moulin à farine,mouture_cereales,agroalimentaire,moulin,3e quart 19e siècle,https://inventaire-patrimoine.normandie.fr/dossier/5f52703f-f04a-4fcb-ae05-4d0e785b38f7
