site_id,reference_ia,reference_casias,nom_casias,adresse_casias,distance_m,score_texte,statut,usage
5e003985-f033-4a73-88b2-c1bf15acb966,IA00060988,BNO6101103,Ste Industrielle de Fourniture en machines (anciennement USINE DE MATERIEL D'EQUIPEMENT INDUSTRIEL),"lieu dit ""La Petite Forge""",26.3,64,recoupement_confirme,recoupement_uniquement
017109cc-6c4f-4dfb-b83d-1b5952486358,IA00060986,BNO6101175,USINE DE BLANCHIMENT,rue Pierre Neveu,17.3,100,recoupement_confirme,recoupement_uniquement
9bc4a8a2-5e5e-4fe9-9be4-736f4e1f8773,IA00061104,BNO6101283,VERRERIE DE GAST,"lieu dit ""La verrerie du Gast""",57.5,71,recoupement_confirme,recoupement_uniquement
cb755e85-f0c2-4883-a32b-06919fed37bd,IA00060975,BNO6101293,IMPRIMERIE,11 rue halle aux toiles de la,49861.0,100,recoupement_confirme,recoupement_uniquement
f7b9e26f-4dd7-428f-a7e8-659c432904af,IA00061002,BNO6101294,IMPRIMERIE ALENCONNAISE,19 Place poulet malassis,22.5,100,recoupement_confirme,recoupement_uniquement
b7b4d37e-d799-47c2-b0d2-01996bc549c5,IA00061049,BNO6101295,FONDERIE,6 rue Desaix,114.8,100,recoupement_confirme,recoupement_uniquement
eb0b9029-b833-4e0c-8256-73a7b9c17087,IA00061083,BNO6101296,FONDERIE USINE DE BLANCHIMENT,15 rue jetées des,30.6,88,recoupement_confirme,recoupement_uniquement
f6ec7aea-7521-4e53-b45c-f79f6fb0e189,IA00061078,BNO6101297,ETS FAIUS Paul et Cie (anciennement USINE DE QUINCAILLERIE),16 rue pont du moulin du,45.5,61,recoupement_confirme,recoupement_uniquement
eee51fbb-a9c1-4e87-ad92-7d843640980e,IA00061050,BNO6101298,USINE DE QUINCAILLERIE,2 bis rue tanneurs des,62.1,80,recoupement_confirme,recoupement_uniquement
ae3aa777-9d3d-4358-8c29-e5abe97af309,IA00061077,BNO6101299,USINE DE QUINCAILLERIE,"lieu dit ""Merouvel""",38.5,80,recoupement_confirme,recoupement_uniquement
38124217-8a29-4ed9-915b-1a3650a58da5,IA00061076,BNO6101300,USINE DE QUINCAILLERIE,"lieu dit ""les Haies""",51.2,83,recoupement_confirme,recoupement_uniquement
1aa3962f-5ea3-4b0b-84c5-20108aea6536,IA00061125,BNO6101301,MOULIN A FOULON/ MOULIN A TOILE,,91.2,89,recoupement_confirme,recoupement_uniquement
6e05fc2d-213c-4d46-b879-9a04b6020902,IA00060974,BNO6101303,IMPRIMERIE,25 rue Demées,46.2,80,recoupement_confirme,recoupement_uniquement
d615bad7-4d73-4578-a35c-ca020742e307,IA00061051,BNO6101304,,"lieu dit ""Le moulin d'Aubette""",45.4,62,recoupement_confirme,recoupement_uniquement
e5ebab1d-8294-433a-a817-fc3a89deab3e,IA00061129,BNO6101307,,"lieu dit ""La Fenderie""",29.6,57,recoupement_confirme,recoupement_uniquement
6126ffa2-5e97-416c-99d7-1186381b3b8b,IA00061026,BNO6101308,,73 route Paris de,4.6,44,recoupement_confirme,recoupement_uniquement
6ca6edd3-97b4-4e7e-b1fe-d4b4fecfa330,IA00061134,BNO6101310,,"lieu dit ""Grosse Forge""",18.2,36,recoupement_confirme,recoupement_uniquement
d7b0b9b0-6817-4057-8535-3ce9b61ed857,IA00060965,BNO6101313,AFFINERIE / MOULIN A BLE,"lieu dit ""La Forge""",1.3,86,recoupement_confirme,recoupement_uniquement
7ec3d0fb-2b31-4906-a232-ae2e8a365a62,IA00060948,BNO6101314,FENDERIE DE FER,"lieu dit ""La Fendrie""",30.8,83,recoupement_confirme,recoupement_uniquement
73c817a1-f5bd-43d4-8a29-634f8077ad17,IA00060923,BNO6101316,TREFILERIE,"lieu dit ""Le moulin de Launay""",35.4,83,recoupement_confirme,recoupement_uniquement
f1ddbe91-0560-4ed5-8667-6ac4cd8aa1d4,IA00060898,BNO6101319,,avenue Libération de la,43.9,62,recoupement_confirme,recoupement_uniquement
4879c1bd-bc4f-47d5-a91d-382a99bde1d2,IA00061103,BNO6101322,FENDERIE,la fenderie,1.2,67,recoupement_confirme,recoupement_uniquement
32d50c02-8628-4d77-b806-69ec2a221002,IA00061088,BNO6101323,TREFILERIE DE BROCHARD,"lieu dit ""Les Larry""",8.4,62,recoupement_confirme,recoupement_uniquement
16835d7e-5f4a-4d48-afa6-05003824a691,IA00060908,BNO6101325,MINE DE FER,,799.4,100,recoupement_confirme,recoupement_uniquement
c160a3e4-5fde-4683-b1a4-5487b1c43eec,IA00061188,BNO6101326,FENDERIE DE FER,"lieu dit ""Le moulin de Larchamp""",24.6,86,recoupement_confirme,recoupement_uniquement
74afaa7d-8d08-4318-a740-55c8b180c4d7,IA00061089,BNO6101327,USINE DE FLACONNAGE,"lieu dit ""La Cellerie""",66.0,83,recoupement_confirme,recoupement_uniquement
31435f32-c5e1-4e87-9162-c08e37be9853,IA00061138,BNO6101329,MOULIN A FARINE,"lieu dit ""le moulin de porte""",0.9,71,recoupement_confirme,recoupement_uniquement
4f70d230-f68a-408b-a00f-b417bbf09b10,IA00061172,BNO6101330,USINE DE FABRICATION DE MATAUX / MOULIN,rue Forge de la,31.9,82,recoupement_confirme,recoupement_uniquement
9382078d-2dc8-4a31-9935-26363a723370,IA00061105,BNO6101331,HAUT FOURNEAU / MOULIN A BLE,"lieu dit ""La motte rouge""",13.2,89,recoupement_confirme,recoupement_uniquement
8ceb4e40-458c-41c2-b5f5-563217bf3943,IA00061174,BNO6101332,FENDERIE / MOULIN A BLE,"lieu dit ""La fenderie""",13.4,83,recoupement_confirme,recoupement_uniquement
67b195fb-fcc9-44c5-9d47-732d308d9bdf,IA00061048,BNO6101333,FONDERIE,"lieu dit ""l'écu""",9.4,43,recoupement_confirme,recoupement_uniquement
2cb6316a-379f-4046-927c-f26476f5a107,IA00061092,BNO6101334,VERRERIE DE SAINT EVROULT NOTRE DAME DU BOIS,,38.4,18,recoupement_confirme,recoupement_uniquement
3495d47b-0c8f-45b9-866b-dcc3357542e7,IA00060901,BNO6101335,AFFINERIE DE FER,"lieu dit ""La Forge""",94.8,83,recoupement_confirme,recoupement_uniquement
0250e305-e20e-4249-b7c7-5eeece3046a5,IA00060960,BNO6101336,AFFINERIE / FILATURE,"lieu dit ""La Forge""",9.8,80,recoupement_confirme,recoupement_uniquement
