dossier_reference,origine,statut_traitement,statut_site,site_id,titre_source,communes_source,insee_source,adresses_source,lieux_dits_source,denominations_source,activites_codes,secteurs_codes,installations_codes,periodes_activite_codes,periodes_source_codes,localisation_statut_code,longitude_source,latitude_source,decision_rapprochement,dossier_url
IA00061102,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,dbace740-356a-4207-9bd8-b95ad86ec058,"haut fourneau, moulin à tan, fenderie, moulin à tan",Longny-au-Perche,61230,,Moulin à Tan (Le),moulin à tan | haut fourneau | fenderie,preparation_tan | production_fonte | fabrication_metaux,metallurgie_travail_metaux | textile_habillement_cuir,haut_fourneau | moulin | usine,,avant_1789 | industrialisation_rail_vapeur,source_non_controlee,0.7626090513315495,48.52730596127478,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/188b7cce-7ecd-4d81-93c6-4a69aaa67b25
IA00061103,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,4879c1bd-bc4f-47d5-a91d-382a99bde1d2,"fenderie, actuellement maison",Longny-au-Perche,61230,,Fenderie (La),fenderie,fabrication_metaux,metallurgie_travail_metaux,usine,,avant_1789,source_non_controlee,0.7508714914163238,48.524564586568886,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/162aba19-a5d3-48be-bea7-56518baba495
IA00061104,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,9bc4a8a2-5e5e-4fe9-9be4-736f4e1f8773,usine de flaconnage,Tanville,61480,,Verrerie du Gast (La),usine de flaconnage,fabrication_verre,verre_ceramique_materiaux_construction,usine,,avant_1789 | industrialisation_rail_vapeur,source_non_controlee,0.034392564695537406,48.55922538357565,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/d52d97a6-bf8e-436b-ab58-9fc4ee6d26a8
IA00061105,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,9382078d-2dc8-4a31-9935-26363a723370,"haut fourneau, moulin à blé",Normandel,61311,,Motte Rouge (La),haut fourneau | moulin à blé,production_fonte | mouture_cereales,agroalimentaire | metallurgie_travail_metaux,haut_fourneau | moulin,,avant_1789 | revolution_premiere_industrialisation | industrialisation_rail_vapeur,source_non_controlee,0.7075409220334788,48.64085109804082,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/645c0d9a-4047-4e02-b244-364eff07562e
IA00061106,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,b48a1877-edbc-4e07-8c90-b24a63cb96e0,fonderie dite Société des Fonderies et Ateliers de Randonnai,Randonnai,61343,Sainte Anne (route) 18,,fonderie,fonderie,metallurgie_travail_metaux,fonderie,,industrialisation_rail_vapeur | guerres_entre_deux_guerres | modernisation_apres_guerre,source_non_controlee,0.6749366986694487,48.64762512401811,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/14d103d5-dc09-406e-bb94-78a70012fc4e
IA00061108,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,0bbe4bbc-3645-42cf-abe5-0b4065cb17cd,tréfilerie dite la Fabrique,Chandai,61092,,Château des Masselins,tréfilerie,trefilage_metaux,metallurgie_travail_metaux,usine,,revolution_premiere_industrialisation,source_non_controlee,0.7406927721587973,48.75669657613273,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/9b532798-3da1-4d20-b4ef-acf78c44dc69
IA00061109,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,2362786c-18e2-4cc3-bb63-81ce150cc61f,moulin à papier,Boissy-Maugis,61050,,Bluteau,moulin à papier,fabrication_papier,bois_papier_imprimerie,papeterie,,revolution_premiere_industrialisation,source_non_controlee,0.6993384667978293,48.463324568698226,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/f0041e5d-9dc5-4e93-88e5-abef1dd0fb34
IA00061110,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,b4ce6a84-df48-4dd8-8e78-c4ba53362eca,moulin à farine,Condé-sur-Huisne,61116,Moulin Pley (rue du),,moulin à farine,mouture_cereales,agroalimentaire,moulin,,industrialisation_rail_vapeur,source_non_controlee,0.8434453268630354,48.38188202376638,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/51d60ebb-096a-4d42-a50f-75a129b5bf8b
IA00061111,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,15294e4b-37ee-479a-a47c-18463f4a6cb3,moulin à farine,Dorceau,61147,,Moulin de Dorceau (Le),moulin à farine,mouture_cereales,agroalimentaire,moulin,,avant_1789 | revolution_premiere_industrialisation,source_non_controlee,0.8012849480769255,48.420482714159775,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/a270caa3-6f07-4ba1-8219-e345c47aae98
IA00061114,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,a922d44a-178e-4eee-a9f4-738e33f98216,"tréfilerie, usine de quincaillerie",Saint-Sulpice-sur-Risle,61456,,Bouviers,tréfilerie | usine de quincaillerie,trefilage_metaux | fabrication_quincaillerie,metallurgie_travail_metaux,usine,,revolution_premiere_industrialisation | industrialisation_rail_vapeur | guerres_entre_deux_guerres,source_non_controlee,0.6657982552290692,48.78362596815629,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/ceba62ec-2803-45a0-bc4b-3e2b0ed55d43
IA00061115,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,8c9e1052-98ba-40dc-8669-58721805a1dd,moulin à papier,Saint-Maurice-sur-Huisne,61430,,Yversay,moulin à papier,fabrication_papier,bois_papier_imprimerie,papeterie,,revolution_premiere_industrialisation | industrialisation_rail_vapeur,source_non_controlee,0.7039490559189281,48.43804265751403,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/9fba22e8-2d3b-4ba4-915c-8836bc5ff9a7
