personne,reference,nombre_de_phases,activites_codes,secteurs_codes,installations_codes,mode_chronologique,conservation_code,usages_actuels,accessibilite_code,fiabilite_code,statut_protection,commentaire
A,IA00060938,,,,,,,,,,,
A,IA00060915,,,,,,,,,,,
A,IA00061147,,,,,,,,,,,
A,IA00060965,,,,,,,,,,,
A,IA00061155,,,,,,,,,,,
A,IA00061060,,,,,,,,,,,
